myo,action
24,Not
25,Not
27,Not
27,Not
27,Not
26,Not
25,Not
25,Not
26,Not
25,Not
25,Not
25,Not
25,Not
26,Not
26,Not
26,Not
25,Not
24,Not
23,Not
24,Not
24,Not
24,Not
23,Not
22,Not
22,Not
23,Not
24,Not
25,Not
25,Not
25,Not
25,Not
25,Not
26,Not
26,Not
25,Not
25,Not
25,Not
24,Not
24,Not
24,Not
25,Not
24,Not
24,Not
25,Not
25,Not
25,Not
25,Not
25,Not
26,Not
27,Not
25,Not
25,Not
24,Not
24,Not
23,Not
23,Not
23,Not
23,Not
24,Not
24,Not
24,Not
24,Not
23,Not
24,Not
25,Not
25,Not
25,Not
24,Not
23,Not
23,Not
24,Not
25,Not
25,Not
25,Not
25,Not
25,Not
24,Not
24,Not
24,Not
24,Not
25,Not
26,Not
26,Not
27,Not
27,Not
26,Not
25,Not
24,Not
24,Not
25,Not
26,Not
26,Not
25,Not
25,Not
24,Not
24,Not
25,Not
25,Not
26,Not
26,Not
25,Not
25,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
23,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
23,Not
25,Not
25,Not
24,Not
23,Not
23,Not
24,Not
24,Not
24,Not
25,Not
24,Not
23,Not
24,Not
22,Not
23,Not
23,Not
22,Not
22,Not
22,Not
22,Not
21,Not
22,Not
21,Not
22,Not
24,Not
24,Not
24,Not
23,Not
24,Not
24,Not
24,Not
24,Not
23,Not
23,Not
22,Not
22,Not
22,Not
23,Not
25,Not
24,Not
24,Not
24,Not
24,Not
24,Not
23,Not
22,Not
23,Not
23,Not
23,Not
22,Not
22,Not
24,Not
23,Not
22,Not
22,Not
23,Not
23,Not
22,Not
22,Not
22,Not
23,Not
22,Not
22,Not
22,Not
21,Not
21,Not
21,Not
22,Not
22,Not
21,Not
22,Not
22,Not
23,Not
22,Not
24,Not
24,Not
24,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
22,Not
22,Not
22,Not
22,Not
23,Not
24,Not
25,Not
25,Not
25,Not
25,Not
24,Not
25,Not
24,Not
23,Not
24,Not
26,Not
26,Not
27,Not
26,Not
27,Not
26,Not
26,Not
26,Not
26,Not
26,Not
26,Not
25,Not
25,Not
25,Not
25,Not
25,Not
25,Not
25,Not
25,Not
25,Not
24,Not
24,Not
25,Not
26,Not
25,Not
26,Not
26,Not
25,Not
25,Not
25,Not
25,Not
24,Not
24,Not
25,Not
25,Not
25,Not
25,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
23,Not
23,Not
23,Not
23,Not
22,Not
23,Not
22,Not
22,Not
22,Not
22,Not
21,Not
21,Not
21,Not
21,Not
21,Not
24,Not
23,Not
24,Not
24,Not
24,Not
24,Not
24,Not
23,Not
24,Not
25,Not
25,Not
24,Not
25,Not
25,Not
25,Not
25,Not
26,Not
26,Not
26,Not
26,Not
27,Not
26,Not
25,Not
25,Not
23,Not
23,Not
25,Not
25,Not
24,Not
24,Not
23,Not
23,Not
23,Not
23,Not
23,Not
21,Not
22,Not
22,Not
21,Not
22,Not
21,Not
21,Not
22,Not
23,Not
22,Not
22,Not
22,Not
21,Not
21,Not
22,Not
22,Not
21,Not
21,Not
20,Not
20,Not
20,Not
20,Not
20,Not
20,Not
19,Not
19,Not
19,Not
19,Not
19,Not
19,Not
18,Not
18,Not
18,Not
19,Not
18,Not
19,Not
21,Not
20,Not
22,Not
24,Not
24,Not
24,Not
23,Not
24,Not
24,Not
24,Not
24,Not
23,Not
24,Not
24,Not
23,Not
24,Not
23,Not
22,Not
24,Not
22,Not
21,Not
21,Not
21,Not
21,Not
21,Not
22,Not
22,Not
21,Not
22,Not
21,Not
21,Not
22,Not
23,Not
23,Not
24,Not
23,Not
24,Not
23,Not
23,Not
22,Not

